name,idf,imdb_score,genres,release,countries,directors,actors,summary
Mr. Klein 1976,https://www.imdb.com/title/tt0074916,7.5,"['جنایی', 'درام', 'رازآلود', 'معمایی']",1976,"['ایتالیا', 'فرانسه']",['Joseph Losey'],"['Alain Delon', 'Jeanne Moreau', 'Francine Bergé']",پاریس، سال 1942. روبر کلاین، دلال عتیقه، از پیدا کردن یک روزنامه ی عبری زبان در صندوق پستی اش یکه می خورد و برآشفته از این که این ماجرا باعث جلب توجه پلیس می شود؛ پی می برد که «روبر کلاین» دیگری نیز وجود دارد که احتمالا یهودی است و اکنون ناپدید شده است.
Mr. Monk's Last Case: A Monk Movie 2023,https://www.imdb.com/title/tt27145269,,"['جنایی', 'رازآلود', 'کمدی']",2023,['آمریکا'],['Randy Zisk'],"['Tony Shalhoub', 'Traylor Howard', 'Jason Gray-Stanford']",داستان بازرسی به‌نام آدرین مونک که اختلال وسواسی-جبری دارد و حالا برگشته تا آخرین پرونده‌اش که مربوط به دخترخوانده‌اش می‌شود را حل کند.
Mr. Poppers Penguin's 2011,https://www.imdb.com/title/tt1396218,,"['خانوادگی', 'فانتزی', 'کمدی']",2011,['آمریکا'],['Mark Waters'],"['jim carrey', 'carla gugino', 'Angela Lansbury']","«تام پاپرز» که با پدرش که یک جهانگرد بوده, رابطه چندانی نداشته . خودش هم وقت کمی را با بچه هایش می گذراند و اکثر اوقات مشغول کارش است. یک روز پدرش برای او هدیه ای غیر منتظره می فرستد: شش پنگوئن. پاپرز که از هدف پدرش از فرستادن این پنگوئن ها سر در نمی آورد، تصمیم میگیرد از شر آن‌ها خلاص شود. اما ..."
Mr. Turner 2014,https://www.imdb.com/title/tt2473794,,"['بیوگرافی', 'تاریخی', 'درام']",2014,"['آلمان', 'آمریکا', 'انگلستان', 'بلژیک', 'فرانسه']",['Mike Leigh'],"['timothy spall', 'Paul Jesson', 'dorothy atkinson']",فیلم ، مروری بر ربع قرن پایانیِ زندگیِ نقاش بزرگ و بسیار معروف بریتانیایی ، جی.ام.دَبلیو ترنر دارد و…
Mrs. Harris Goes to Paris 2022,https://www.imdb.com/title/tt5151570,7.1,[],2022,"['آمریکا', 'انگلستان', 'بلژیک', 'فرانسه', 'کانادا', 'مجارستان']",['Anthony Fabian'],"['Jason Isaacs', 'lesley manville', 'Alba Baptista']",اقتباسی جدید از رمان بسیار دوست داشتنی پل گالیکو درباره یک خانم نظافتچی در لندن دهه 1950 که عاشق یک لباس از برندی معروف می شود و تصمیم می گیرد ....
Mrs Lowry Son 2019,https://www.imdb.com/title/tt7590074,,"['بیوگرافی', 'تاریخی', 'درام', 'بیوگرافی', 'درام', 'تاریخی']",2019,['انگلستان'],"['Adrian Noble', 'آدریان نوبل']","['Vanessa Redgrave', 'timothy spall', 'Wendy Morgan', 'ونسا ردگریو', 'تیموتی اسپال', 'استفان لرد']",این فیلم یک پرتره از ال اس لاوری را به تصویر می‌کشد ، ارتباط دوستانه‌ی او با مادرش که سعی می‌کند او را از کاری که دنبال می‌کند منصرف کند ، اما…
M.S. Dhoni: The Untold Story 2016,https://www.imdb.com/title/tt4169250,8,"['بیوگرافی', 'درام', 'ورزشی']",2016,['هندوستان'],['Neeraj Pandey'],"['sushant singh rajput', 'Abhinay Raj Singh', 'kiara advani']",داستان جوانی به نام “ام.اس. دونی” که اوایل مسئول فروش بلیت مسابقات کریکت بوده و بعدها با انگیزه گرفتن از دوستان، آشنایان و مربیانش وارد این ورزش شده و تبدیل به کاپیتان تیم ملی کریکت هند می شود.
Mud 2012,https://www.imdb.com/title/tt1935179,7.4,"['درام', 'ماجراجویی']",2012,['آمریکا'],['Jeff Nichols'],"['matthew mcconaughey', 'tye sheridan', 'Jacob Lofland']",دو پسر جوان بعد از برخورد با یک زندانی فراری ، تصمیم می گیرند او را از دست پلیس و جایزه بگیرها فراری دهند و به او کمک کنند تا به نامزدش برسد. اما…
Mudbound 2017,https://www.imdb.com/title/tt2396589,7.4,"['جنگی', 'درام']",2017,['آمریکا'],['Dee Rees'],"['jason mitchell', 'carey mulligan', 'jason clarke']",دو مرد از جنگ جهانی دوم به خانه باز می‌گردند تا در مزرعه‌ای که در نواحی روستایی ایالت میسیسیپی قرار دارد کار کنند، و در آن‌جا تقلا می‌کنند با نژادپرستی و سازگاری با زندگیِ پس از جنگ کنار بیایند.
Mulan 2020 (),https://www.imdb.com/title/tt4566758,,"['اکشن', 'خانوادگی', 'درام', 'ماجراجویی', 'اکشن', 'حماسی']",2020,"['آمریکا', 'کانادا', 'هنگ کنگ']",['Niki Caro'],"['yifei liu', 'Donnie Yen', 'Gong Li']",یک دوشیزه جوان چینی به منظور نجات پدرش، با استفاده از ظاهری مبدل خودش را به عنوان یک جنگ‌جوی مرد معرفی می‌کند و...
Mulan: Rise of a Warrior 2009,https://www.imdb.com/title/tt1308138,,"['درام', 'عاشقانه', 'ماجراجویی']",2009,"['آمریکا', 'چين']","['Jingle Ma', 'Wei Dong']","['Wei Zhao', 'Jaycee Chan', 'Rongguang Yu']",داستان درباره دختر جوانی است که با به تن کردن لباس رزم راهی ارتش می‌شود تا به جای پدر کهن سال خود در ارتش خدمت کند…
Mulaneseo (In Water) 2023,https://www.imdb.com/title/tt26448971,,['درام'],2023,['کره جنوبی'],['Hong Sang-soo'],[],یک بازیگر جوان تصمیم می‌گیرد تا بازیگری را کنار بگذارد و یک فیلم کوتاه بسازد. حالا برای پیدا کردن ایده او باید منتظر بماند و اطراف خود را با دقت مشاهد کند و منتظر زمان مناسب بماند.
Mulk 2018,https://www.imdb.com/title/tt7618184,7.3,['درام'],2018,['هندوستان'],['anubhav sinha'],"['taapsee pannu', 'rishi kapoor', 'manoj pahwa']",یک دختر تصمیم دارد که به خانواده خود که درگیر یک جدل شده کمک کند و...
Munafik 2 2018,https://www.imdb.com/title/tt7059506,,['ترسناک'],2018,['مالزی'],['syamsul yusof'],"['syamsul yusof', 'maya karin', 'nasir bilal khan']",سکینه، مادری مجرد در روستایی دورافتاده، توسط روحی که با آبوجا مربوط است تسخیر می‌شود. آدام به همراه مردی تصمیم دارند که او را نجات دهند.
Munich: The Edge of War 2021,https://www.imdb.com/title/tt7475578,,"['بیوگرافی', 'تاریخی', 'درام', 'هیجان انگیز']",2021,"['آمریکا', 'انگلستان']",['Christian Schwochow'],"['george mackay', 'jannis niewöhner', 'jeremy irons']",یک دیپلمات انگلیسی در آستانه جنگ جهانی دوم به مونیخ سفر می کند، جایی که یکی از همکلاسی های سابق او از آکسفورد نیز در راه است، اما برای دولت آلمان کار می کند.
Murder by Death 1976,https://www.imdb.com/title/tt0074937,7.3,"['جنایی', 'رازآلود', 'کمدی']",1976,['آمریکا'],['Robert Moore'],"['Peter Falk', 'Alec Guinness', 'Peter Sellers']",پنج شخصیت کارگاه پلیس معروف و آنها دعوتنامه هاییبه یک عمارت عجیب و غریب دریافت میکنند جهت حل رمز و رازی عجیب ...
Murder Manual 2020,https://www.imdb.com/title/tt12384178,,"['ترسناک', 'هیجان انگیز', 'ترسناک', 'هیجان انگیز']",2020,['آمریکا'],"['Kelly Hallmark', 'Michael Escobedo']","['emilia clarke', 'Hadley Fraser', 'Sylvia Panacione']",داستان این فیلم ترسناک درباره زنی به نام مالو است که در یک سیرک عجیب و ترسناک گرفتار می شود و …
