name,idf,imdb_score,genres,release,countries,directors,actors,summary
Star Wars: The Clone Wars 2008,https://www.imdb.com/title/tt1185834,,"['اکشن', 'انیمیشن', 'درام', 'علمی تخیلی', 'فانتزی', 'ماجراجویی']",2008,['آمریکا'],['Dave Filoni'],"['matt lanter', 'nika futterman', 'Tom Kane']",جنگ های Clone که به صورت رفت و برگشتی صورت میگیرد در کهکشان ها رخ می دهد و شوالیه های Jedi برای حفظ نظم و برقراری صلح قهرمانانه به مبارزه می پردازند. اما سیستم هایی هستند که قصد دارند جمهوری کهکشانی را به سمت تاریکی سقوط دهند...
Suicide Squad Hell to Pay 2018,https://www.imdb.com/title/tt7167602,,"['اکشن', 'انیمیشن', 'فانتزی']",2018,['آمریکا'],['sam liu'],"['christian slater', 'vanessa williams', 'billy brown']",در خلاصه داستان این فیلم انیمیشنی آمده است ، گروهی مبارز ماجراجو شامل ددشات ، کاپیتان بومرنگ و… یک شی قدرتمند را مورد هدف قرار می‎دهند که ممکن هست جان آنها را به خطر بیندازد یا حتی بگیرد و…
The Ballad of Buster Scruggs 2018,https://www.imdb.com/title/tt6412452,7.3,"['درام', 'رازآلود', 'رمانتیک', 'کمدی', 'موزیکال', 'وسترن']",2018,['آمریکا'],"['ethan coen', 'joel coen']","['tim blake nelson', 'Willie Watson', 'clancy brown']",در این فیلم شاهد شش داستان مختلف خواهیم بود که تمرکز اصلی داستان روی فردی به نام باستر اسکراگز می باشد ..
Baaghi 2016,https://www.imdb.com/title/tt4864932,,"['اکشن', 'هیجان انگیز']",2016,['هندوستان'],['sabir khan'],"['shraddha kapoor', 'tiger shroff', 'sudheer babu posani']",یک مرد مشکل دار مدت کوتاهی پس از اینکه وارد یک آکادمی هنرهای رزمی می شود، عاشق دختری می شود که رقیبش با او دوست هست... ...
Bill & Ted Face the Music,https://www.imdb.com/title/tt1086064,,[],,['آمریکا'],['Dean Parisot'],"['keanu reeves', 'Alex Winter', 'Kristen Schaal']",
Enchanted 2007,https://www.imdb.com/title/tt0461770,7.1,"['انیمیشن', 'خانوادگی', 'عاشقانه', 'فانتزی', 'کمدی', 'ماجراجویی', 'موزیکال']",2007,['آمریکا'],['Kevin Lima'],"['amy adams', 'susan sarandon', 'james marsden']",یک شاهزاده خانم از قصه های تخیلی توسط ملکه ای شرور به دنیای ما فرستاده می شود. شاهزاده «گیزل» در دنیای واقعی، بعد از ملاقات با یک وکیل خوش تیپ، کم کم نگاهش به زندگی و همینطور عشق تغییر می کند. اما آیا یک عشقی که در قصه‌هاست، در دنیای واقعی ما دوام می آورد؟
Adam Sandler: 100% Fresh 2018,https://www.imdb.com/title/tt9036126,7.5,"['آهنگ', 'استندآپ کمدی', 'کمدی']",2018,['آمریکا'],"['Nicholaus Goossen', 'steven brill']","['adam sandler', 'Rob Schneider', 'Dan Bulla']",آدام سندلر در این استندآپ کمدی با خط داستانی زیبا از کمیک، موسیقی، جاده ها و ایستگاه مترو عبور می کند تا همه آن ها را به گوش حاضران در سالن برساند…
Dave Chappelle: Sticks & Stones 2019,https://www.imdb.com/title/tt10810424,8.3,"['استندآپ کمدی', 'کمدی']",2019,['آمریکا'],['stan lathan'],['dave chappelle'],"جدیدترین برنامه ی استندآپ کمدین ستاره یعنی “دیو چپل” که توسط نت‌فلیکس منتشر شده است. ""دیو"" این بار در شهر آتلانتا برنامه‌ی ویژه استندآپ کمدی اجرا کرده است و به صورت طنز و با توپ پر به فرهنگ، بحران مواد توهم‌زا، رسوایی های ستاره های هالیوود و غیره حمله کرده است …"
Maz Jobrani Immigrant 2017,https://www.imdb.com/title/tt7164714,,"['استندآپ کمدی', 'کمدی']",2017,[],['maz jobrani'],['maz jobrani'],کمدین ایرانی “ماز جبرانی” در این استندآپ به موضوعات جالب و مسائل سیاسی فعلی می پردازد به ویژه در مورد دونالد ترامپ و سیاست های ضد مهاجرین آمریکا.
Ricky Gervais: SuperNature 2022,https://www.imdb.com/title/tt19885626,7.6,"['استندآپ کمدی', 'کمدی']",2022,"['آمریکا', 'انگلستان']",['John L. Spencer'],['ricky gervais'],استند آپ کمدی جدید کمدین معروف، ریکی جرویز درباره طبیعت با مضمون آنکه طبیعت همینطور در همین حالت فوق‌العاده است و دلیلی بر ماوراء خواندن آن نیست.
Sorry Louis C.K. 2021,https://www.imdb.com/title/tt16491756,7.7,"['استندآپ کمدی', 'کمدی']",2021,['آمریکا'],['Louis C.K.'],[],نمایش استندآپ کمدی ویژه کاملاً جدید از لوییس سی کی
Bill Burr: Live at Red Rocks 2022,https://www.imdb.com/title/tt21106500,7.6,"['استندآپ کمدی', 'کمدی', 'مستند']",2022,['آمریکا'],['Mike Binder'],['Bill Burr'],استندآپ کمدین مشهور بیل بور، در رابطه با فرهنگ فمینیسم، رفتارهای زننده همسرش برنامه خود را اجرا می کند.
Dave Chappelle: The Dreamer 2023,https://www.imdb.com/title/tt18278698,,['کمدی'],2023,['آمریکا'],['stan lathan'],['dave chappelle'],دیو شپل باری دیگر برگشته تا با استندآپ بدون سانسور و آزادانه‌اش خنده بر لب تماشاچیان بیاورد.
Ellen DeGeneres: Relatable 2018,https://www.imdb.com/title/tt7157574,,"['استندآپ کمدی', 'کمدی']",2018,['آمریکا'],"['Joel Gallen', 'Tig Notaro']","['laura dern', 'ellen degeneres', 'Eddie Vedder']",پس مدت ها انتظار بالاخره الن دی‌جنرس برای اجرای استندآپ کمدی در سیاتل به روی استیج میرود...
Jerry Seinfeld: 23 Hours to Kill 2020,https://www.imdb.com/title/tt12117854,,"['استندآپ کمدی', 'کمدی']",2020,['آمریکا'],"['Joe DeMaio', 'Steven Rimdzius']",['Jerry Seinfeld'],کمدین جری ساینفلد در تئاتر بیکن در نیویورک استند آپی را اجرا می کند و …
John Mulaney: Baby J 2023,https://www.imdb.com/title/tt27141610,7.5,"['کمدی', 'مستند']",2023,['آمریکا'],['Alex Timbers'],['john mulaney'],پس از چند سال عجیب، جان مولانی دوباره پر قدرت با استندآپی جدید به صحنه بازگشته.
Kevin Hart: Irresponsible 2019,https://www.imdb.com/title/tt10009796,,"['استندآپ کمدی', 'کمدی']",2019,['آمریکا'],['leslie small'],['kevin hart'],در این استندآپ کمدی، کوین هارت در مورد خانواده اش، مسافرت و یک سال پر از رفتار بی پروا در مقابل مردم در لندن صحبت می کند...
Kevin Hart: Reality Check 2023,https://www.imdb.com/title/tt28227488,,['کمدی'],2023,['آمریکا'],['leslie small'],['kevin hart'],بار دیگر کوین هارت دوست داشتنی پا به صحنه گذاشته تا همه چیز و همه کس را با نگاهی طنز به باد انتقاد بگیرد و لبخند بر لب همه بیاورد.
Louis C.K.: Back to the Garden 2023,https://www.imdb.com/title/tt26598133,7.5,['کمدی'],2023,['آمریکا'],[],['louis c.k.'],اجرای کمدی سال 2023 لوئیس سی کی در استادیوم مدیسون اسکوئر گاردن نیویورک.
Maz Jobrani: I Come in Peace 2013,https://www.imdb.com/title/tt2693060,7.5,"['استندآپ کمدی', 'کمدی']",2013,['آمریکا'],['maz jobrani'],['maz jobrani'],"Maz Jobrani به استکهلم , سوید برای سومین جایگاه خود می‌رود و نشان می‌دهد که کمدی می‌تواند به راستی یک ابزار دیپلماتیک باشد وقتی که او مخاطبان بین‌المللی را به موضوعاتی از خانواده خود , نژاد پرستی , سیاست و رسانه تبدیل"
Maz Jobrani: Im Not a Terrorist 2015,https://www.imdb.com/title/tt4986786,,"['استندآپ کمدی', 'کمدی']",2015,['آمریکا'],['maz jobrani'],['maz jobrani'],کمدین ایرانی “ماز جبرانی” در این استندآپ کمدی که در سال 2015 اجرا کرده است به بحث های روز سیاسی و اجتماعی نگاه طنز گونه ای داشته و در این بازی فرزندان خود را نیز دخیل کرده است.
Ricky Gervais: Armageddon 2023,https://www.imdb.com/title/tt30088797,,"['کمدی', 'مستند']",2023,['انگلستان'],['John L. Spencer'],['ricky gervais'],ویژه برنامه جدید ریکی جرویس، کمدین محبوب که درباره هوش مصنوعی، نزاکت سیاسی، عروسی‌های خانوادگی، ختم‌ها و پایان نسل بشر صحبت می‌کند.
Sincerely Louis C.K. 2020,https://www.imdb.com/title/tt12087624,8.2,"['استندآپ کمدی', 'کمدی', 'کمدی']",2020,['آمریکا'],['Louis C.K.'],['louis c.k.'],"در بازگشت طولانی و بحث‌برانگیز لویی CK مورد موضوعاتی همچون مذهب , خدا , کودک‌آزاری , مسافرت اروپا و البته اتهامات سو رفتار جنسی اش در کودکی خواهیم داشت..."
Stand by Me Doraemon 2014,https://www.imdb.com/title/tt3331846,7.3,"['انیمیشن', 'خانوادگی', 'درام', 'علمی تخیلی', 'کمدی']",2014,"['آمریکا', 'ژاپن']","['Ryuichi Yagi', 'Tony Oliver']","['wasabi mizuta', 'megumi ohara', 'Satoshi Tsumabuki']","""دورامون""، یک گربه‌ی ربات مانند است که دارای یک جیب جادویی می باشد. او از جیب جادویی اش می تواند وسایل مختلفی را در بیاورد و مشکلات را با آن ها حل کند. همچنین او دارای صاحب و دوستی به نام ""نبیتا"" است. اما اگر ""دورامون"" او را ترک کند چه بلایی بر سر زندگی ""نبیتا"" می آید؟"
Trouble 2019,https://www.imdb.com/title/tt6772524,,"['انیمیشن', 'خانوادگی', 'کمدی', 'انیمیشن', 'خانوادگی', 'کمدی']",2019,"['آمریکا', 'جزایر کیمن', 'کانادا']",['Kevin Johnson'],"['Big Sean', 'pamela adlon', 'lucy hale']",یک سگ ناز پرورده به نام ترابل در حین اینکه تلاش میکند از دست بچه حریص مالک قدیمی اش فرار کند، باید یاد بگیرد که در دنیای واقعی زنده بماند…
A Whisker Away 2020,https://www.imdb.com/title/tt11958344,,"['انیمیشن', 'عاشقانه', 'فانتزی', 'فانتزی']",2020,['ژاپن'],"[""Jun'ichi Satô"", 'Tomotaka Shibayama']","['Mirai Shida', 'natsuki hanae', 'Johnny Yong Bosch']",میو ساساکی عاشق همکلاسی خود کنتو هینود است و بارها و بارها سعی می کند با تبدیل شدن به یک گربه ، توجه کنتو را جلب کند ، اما ...
Black Clover: Sword of the Wizard King 2023,https://www.imdb.com/title/tt22868844,7.4,"['اکشن', 'انیمیشن', 'ماجراجویی']",2023,['ژاپن'],['Ayataka Tanemura'],"[""Jun'ichi Suwabe"", 'Miyuki Sawashiro', 'Nobunaga Shimazaki']",در دنیایی که جادو در همه چیز نقش دارد، آستا پسری است که بدون جادو زاده شده و قصد دارد پادشاه جادو شود تا بر سختی‌ها چیره شود، قدرت خود را ثابت کند و عهد خود را به دوستانش نگه دارد.
Boruto: Naruto The Movie 2015,https://www.imdb.com/title/tt4618398,7.8,"['اکشن', 'انیمیشن', 'فانتزی', 'کمدی', 'ماجراجویی']",2015,['ژاپن'],"['Hiroyuki Yamashita', 'Toshiyuki Tsuru']","['Yûko Sanpei', 'Kokoro Kikuchi', 'Ryûichi Kijima']",چند سال پس از پایان جنگ شینوبی ، بروتو پسر ناروتو تصمیم می گیرد در کنار ساراتا و میتسوکیِ مرموز در آزمون چونین شرکت کند. اما…
Bubble 2022,https://www.imdb.com/title/tt16360006,,[],2022,['ژاپن'],['Tetsurô Araki'],"['zach aguilar', 'chris jai alex', 'Bill Butts']",پس از باریدن حباب هایی که قوانین گرانش را زیر پا گذاشتند، توکیو به زمین بازی گروهی از جوانان تبدیل شده است که خانواده های خود را از دست داده اند.
Bungo Stray Dogs: Dead Apple 2018,https://www.imdb.com/title/tt8391976,7.3,"['اکشن', 'انیمیشن', 'رازآلود']",2018,"['ژاپن', 'کره جنوبی']",['Takuya Igarashi'],"['Brian Beacock', 'ray chase', 'lucien dodge']",این انیمه در مورد گروهی از کاراگاهان حرفه‌ای است که بر روی مجموعه‌ای از حوادث اسرارآمیز مربوط به خودکشی که به تازگی رخ داده است، تحقیق میکنند. اما تنها چیزی که میان تمام این خودکشی‌ها یکسان است وجود یک علامت ترسناک میباشد که…
Children of the Sea 2019,https://www.imdb.com/title/tt9850064,,"['انیمیشن', 'خانوادگی', 'درام', 'رازآلود', 'فانتزی', 'ماجراجویی', 'انیمیشن', 'ماجراجویی', 'درام', 'خانوادگی', 'فانتزی', 'رازآلود']",2019,"['آمریکا', 'ژاپن']",['Ayumu Watanabe'],"['Mana Ashida', 'Hiiro Ishibashi', 'Seishû Uragami']",دختر نوجوانی وارد یک دنیای زیر آب می‌شود که دو پسر جوان نیز در آنجا هستند…
Crystal Skies of Yesterday 2018,https://www.imdb.com/title/tt8161726,,"['انیمیشن', 'عاشقانه', 'انیمیشن', 'عاشقانه']",2018,['چين'],['Chao Xi'],[],شهر لانشی که در جنوب کشور چین قرار دارد و 3 نوجوان به نام های توشیایی، چی جینگ وان و یائو زتیان در دبیرستانی درس میخوانند. در این انیمیشن داستان زندگی، عشق اول، آرزوها و دوستی آنها نشان داده میشود و ...
Demon Slayer: Mugen Train 2020,https://www.imdb.com/title/tt11032374,8.2,"['اکشن', 'انیمیشن', 'فانتزی', 'ماجراجویی']",2020,['ژاپن'],['Haruo Sotozaki'],"['natsuki hanae', 'Akari Kitô', 'yoshitsugu matsuoka']","این فیلم در واقع ادامه‌ی انیمه‌ی 26 قسمتی ""شیطان کش"" است. داستان تانجیرو کامادو پسری باهوش و مهربان است که همراه با خانواده‌اش زندگی می‌کند و از طریق فروش زغال چوب امرار معاش می‌کند. اما همه چیز زمانی که خانواده‌اش توسط دیوها (اُنی) مورد حمله قرار می‌گیرد، تغییر می‌کند. تانجیرو و خواهر کوچکترش نزوکو تنها بازماندگان این حادثه هستند. در این بین نزوکو تبدیل به دیو می‌شود، اما به‌طور غیرمنتظره نشانه‌هایی از احساسات و تفکر انسانی از خود نشان می‌دهد. تانجیرو به منظور گرفتن انتقام و کمک به خواهرش و یافتن راهی برای تغییر دوباره وی به یک انسان، تبدیل به یک شکارچی و دیو کش می‌شود و..."
Dragon Ball Super: Super Hero 2022,https://www.imdb.com/title/tt14614892,7.1,"['اکشن', 'انیمیشن', 'ماجراجویی']",2022,['ژاپن'],['Tetsuro Kodama'],"['masako nozawa', 'aya hisakawa', 'ryô horikawa']",ارتش ربان قرمز از گذشته‌ی گوکو با دو ربات اندروید جدید بازگشته تا چالش جدیدی برای او ایجاد کنند.
Fortune Favors Lady Nikuko 2021,https://www.imdb.com/title/tt13758684,,"['انیمیشن', 'درام', 'کمدی']",2021,['ژاپن'],['Ayumu Watanabe'],"['Shinobu Ôtake', 'Cocomi', 'natsuki hanae']",داستان یک مادر و دختر و زندگی آنها در یک قایق در یک شهر ماهیگیری.
From Up on Poppy Hill 2011,https://www.imdb.com/title/tt1798188,7.4,"['انیمیشن', 'درام', 'کمدی']",2011,['ژاپن'],['Gorô Miyazaki'],"['sarah bolger', 'chris noth', 'anton yelchin']",داستان گروهی از نوجوانان اهل یوکوهاما که می‌خواند از تخریب باشگاه مدرسه‌شان برای مسابقات المپیک 1964 توکیو جلوگیری کنند.
Fruits Basket: Prelude 2022,https://www.imdb.com/title/tt15799550,7.7,"['انیمیشن', 'درام', 'عاشقانه']",2022,['ژاپن'],['Yoshihide Ibata'],"['Lydia Mackay', 'Miyuki Sawashiro', 'Yoshimasa Hosoya']",گلچینی از انیمه سریالی بازسازی شده سبد میوه با قسمتی اضافه که متمرکز بر روی پدر و مادر تورو است.
Ghost in the Shell 1995,https://www.imdb.com/title/tt0113568,7.9,"['اکشن', 'انیمیشن', 'جنایی', 'علمی تخیلی', 'معمایی', 'هیجان انگیز']",1995,"['انگلستان', 'ژاپن']",['mamoru oshii'],"['Atsuko Tanaka', 'Iemasa Kayumi', 'akio Ôtsuka']",یک پلیس سایبورگ زن و شریک زندگی اش یک هکر مرموز و قدرتمند به نام Puppet Master را شکار می کنند.
Grave of the Fireflies 1988,https://www.imdb.com/title/tt0095327,8.5,"['انیمیشن', 'جنگی', 'درام']",1988,"['آمریکا', 'ژاپن']",['isao takahata'],"['tsutomu tatsumi', 'ayano shiraishi', 'akemi yamaguchi']",داستان در مورد یک پسر جوان و خواهر او میباشد که در طول جنگ جهانی سعی میکنند که زندگی خود را از آتش بمباران ها نجات دهند…
Hello World 2019,https://www.imdb.com/title/tt9418812,,"['انیمیشن', 'خانوادگی', 'درام', 'عاشقانه', 'علمی تخیلی', 'انیمیشن', 'درام', 'خانوادگی', 'عاشقانه', 'علمی تخیلی']",2019,['ژاپن'],['tomohiko itô'],"['Haruka Fukuhara', 'minami hamabe', 'Takumi Kitamura']",مردی با سفر در زمان از سال 2027 به گذشته و دوران مدرسه ی خود باز میگردد تا تصمیم اشتباهی که سال ها قبل گرفته است را تغییر دهد…
Howl's Moving Castle 2004,https://www.imdb.com/title/tt0347149,8.2,"['انیمیشن', 'خانوادگی', 'فانتزی', 'ماجراجویی']",2004,"['آمریکا', 'ژاپن']",['hayao miyazaki'],"['chieko baishô', 'takuya kimura', 'tatsuya gashûin']",موضوع فیلم درباره اثرات مخرب جنگ و تاثیر ویرانگر آن بر روی عواطف و احساسات مردم است. در داستان جنگ بزرگی اتفاق می افتد، و پادشاه از تمامی جادوگران می خواهد تا در این جنگ او را همراهی کنند. اما جادوگری به نام هاول از این امر امتناع می‌کند و به مبارزه با بمب افکن‌های جنگی بر می‌آید. در این میان دختری که او را دوست دارد سعی در باطل کردن طلسم هاول دارد که همان قلب هاول است و…
Jujutsu Kaisen 0: The Movie 2021,https://www.imdb.com/title/tt14331144,7.8,"['اکشن', 'انیمیشن', 'فانتزی', 'هیجان انگیز']",2021,['ژاپن'],['Seong-Hu Park'],"['Chinatsu Akasaki', 'Aya Endô', 'kana hanazawa']",یوتا اوکوتسو تسخیر شده است. از زمانی که دوست دوران کودکی‌اش ریکا در یک تصادف رانندگی درگذشت، روح او در او ماندگار شد.
Konosuba! 2019,https://www.imdb.com/title/tt9239552,7.8,"['اکشن', 'انیمیشن', 'فانتزی', 'کمدی', 'ماجراجویی', 'انیمیشن', 'اکشن', 'فانتزی', 'کمدی', 'ماجراجویی']",2019,['ژاپن'],['Takaomi Kanasaki'],"['Jun Fukushima', 'sora amamiya', 'Rie Takahashi']",زندگی کازوما ساتو یه هیکیکوموری که عاشق بازی هاست به خاطر یک تصادف به پایان می رسد ، باید اینطور می‌شد ولی وقتی بیدار شد یه دختر زیبا که به خودش می‌گفت الهه در برابرش بود و…
Lu Over the Wall 2017,https://www.imdb.com/title/tt6452332,,"['آهنگ', 'انیمیشن', 'خانوادگی', 'فانتزی', 'کمدی', 'ماجراجویی', 'انیمیشن', 'آهنگ', 'خانوادگی', 'فانتزی', 'کمدی', 'ماجراجویی']",2017,"['آمریکا', 'ژاپن']",['masaaki yuasa'],"['Kanon Tani', 'Shôta Shimoda', 'Minako Kotobuki']",کای، یک دانش آموز جوان دوره راهنمایی ، در شهر هاناشی، یه روستای زیبا ماهیگیری با پدر و پدر بزرگش که چتر ساز هستن زندگی میکنه. کای قبلا توی توکیو زندگی میکرده ولی وقتی پدر و مادرشو پیدا کرد به خانه پدریش برگشت. برای کای دشواره که احساسات پیچیده ای که نسبت به والدینش داره رو بهشون نشون بده و توی مدرسه هم بسیار تنهاست. یکی از علاقه مندی های کای آپلود کردن آهنگ توی اینترنت هست . تا اینکه یک روز با “لو” دختری که یک پری دریایی است آشنا میشه...
My Hero Academia: Heroes Rising 2019,https://www.imdb.com/title/tt11107074,7.8,"['اکشن', 'انیمیشن', 'خانوادگی', 'علمی تخیلی', 'کمدی', 'ماجراجویی']",2019,['ژاپن'],['kenji nagasaki'],"['Daiki Yamashita', 'nobuhiko okamoto', 'Yuka Terasaki']",گروهی از جوانان دوست دارند به ابرقهرمانان حرفه ای تبدیل شوند. آن ها در دنیایی که پر از انسان های با قابلیت های فوق العاده است، مبارزه می کنند. دکو و هم کلاسی هایش از آکادمی قهرمانان با ناین، قدرتمند ترین دشمنشان تا کنون، روبرو می شوند.
My Hero Academia: Two Heroes 2018,https://www.imdb.com/title/tt7745068,7.3,"['اکشن', 'انیمیشن', 'علمی تخیلی', 'فانتزی', 'ماجراجویی']",2018,['ژاپن'],['kenji nagasaki'],"['Daiki Yamashita', 'Kenta Miyake', 'Mirai Shida']",دکو و دوستش دعوت‎نامه‎ای برای بازدید از یک شهر شناور و ساخته شده به دست انسان را می‎پذیرند. در آنجا آنها وارد ماجراهایی می‎شوند و جنگی بر علیه فردی شرور که کل جزیره را گروگان گرفته است آغاز می‎کنند.
My Hero Academia: World Heroes' Mission 2021,https://www.imdb.com/title/tt13544716,7.1,"['اکشن', 'انیمیشن', 'علمی تخیلی', 'فانتزی', 'ماجراجویی']",2021,['ژاپن'],['kenji nagasaki'],"['Daiki Yamashita', 'nobuhiko okamoto', 'Yûki Kaji']",یک گروهک تروریستی با انتشار سمی که باعث می شود توانایی افراد از کنترل خارج شود، یک شهر را به آشوب کشیده خراب می کنند. در این میان بزرگترین قهرمانان ژاپن در تلاش برای یافتن مغز متفکر این گروهگ و محاکمه او در سراسر جهان پخش می شوند.
My Neighbor Totoro 1998,https://www.imdb.com/title/tt0096283,8.1,"['انیمیشن', 'خانوادگی', 'فانتزی', 'انیمه']",1998,['ژاپن'],['hayao miyazaki'],"['Hitoshi Takagi', 'noriko hidaka', 'chika sakamoto']",مِی کودکی خردسال است که به همراه پدر و خواهر بزرگش برای تعطیلات تابستانی به خانه‌ای دور از شهر می‌روند. اما طولی نمی‌کشد که او و خواهرش متوجه وجود ارواح جنگل می‌شوند و…
Naruto Shippuden: The Lost Tower 2010,https://www.imdb.com/title/tt1703048,,"['اکشن', 'انیمیشن', 'فانتزی', 'ماجراجویی']",2010,['ژاپن'],['Masahiko Murata'],"['Junko Takeuchi', 'Chie Nakamura', 'Satoshi Hino']",داستان این قسمت در جایی آغاز می شود که ناروتو در حال انجام دادن یک سری از تمرین های بسیار سخت می باشد که بر اثر یک اتفاق نادر بک گذشته سفر می کند پس از اینکه ناروتو با از سر گذراندن اتفاقات بسیاری متوجه می شود که به گذشته رفته است وارد شهری به نام لوران می شود در این شهر او او متوجه می شود که...
Naruto Shippuden: The Movie  Bonds 2008,https://www.imdb.com/title/tt1160524,,"['اکشن', 'انیمیشن', 'فانتزی']",2008,['ژاپن'],['Hajime Kamegaki'],"['Junko Takeuchi', 'Chie Nakamura', 'Noriaki Sugiyama']",یک گروه مرموز از نینجاها به نام سو-نین که از کشور آسمان هستند به شهر کونوها حمله می‌کنند و…
Naruto Shippuden: The Movie 2007,https://www.imdb.com/title/tt0988982,,"['اکشن', 'انیمیشن', 'خانوادگی', 'فانتزی', 'ماجراجویی']",2007,['ژاپن'],['Hajime Kamegaki'],"['Junko Takeuchi', 'Chie Nakamura', 'Yôichi Masukawa']",یک گروه نینجا نقشه کشیدند که یک شیطان قوی رو احیا کنند و وقتی که روحش به بدنش برگردد دنیا نابود میشود. تنها راهی که میشه از این اتفاق جلوگیری کرد، شیون، پیشوای معبد است...
Naruto Shippuden: The Movie 3: Inheritors of the Will of Fire 2009,https://www.imdb.com/title/tt1481363,,"['اکشن', 'انیمیشن', 'فانتزی']",2009,['ژاپن'],['Masahiko Murata'],"['Junko Takeuchi', 'Chie Nakamura', 'Satoshi Hino']",نینجاها در سرتاسر تمام کشورها ناپدید میشوند و همه ملت آتش رو مقصر میدانند. به دستور سوناده، کاکاشی قربانی میشود تا جلوی جنگی همه جانبه گرفته شود....
Naruto Shippuden the Movie: Blood Prison 2011,https://www.imdb.com/title/tt1999167,7.1,"['اکشن', 'انیمیشن', 'رازآلود', 'فانتزی', 'هیجان انگیز']",2011,['ژاپن'],['Masahiko Murata'],"['Junko Takeuchi', 'Chie Nakamura', 'rikiya koyama']",نبرد ناروتو برای اثبات بی گناهی خویش ، ناروتو برای جرمی که مرتکب نشده مجرم شناخته می‌شود و برای اصلاح به زندان فرستاده می‌شود و…
Naruto the Movie 2: Legend of the Stone of Gelel 2005,https://www.imdb.com/title/tt0791188,,"['اکشن', 'انیمیشن', 'درام', 'فانتزی', 'کمدی', 'ماجراجویی']",2005,['ژاپن'],['Hirotsugu Kawasaki'],"['Junko Takeuchi', 'Shôtarô Morikubo', 'Chie Nakamura']",ناروتو، شیکامارو و ساکورا این بار به مأموریتی فرستاده شده‌اند تا حیوان دست‌آموز گمشده‌ای را به دهکده‌اش بازگردانند اما با جنگجوی اسرارآمیزی مواجه می‌شوند که...
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom 2006,https://www.imdb.com/title/tt1071815,,"['اکشن', 'انیمیشن', 'ماجراجویی']",2006,['ژاپن'],['Toshiyuki Tsuru'],"['Junko Takeuchi', 'Chie Nakamura', 'Yôichi Masukawa']",ناروتو، کاکاشی، ساکورا و راک لی برای محافظت از میچیرو، شاهزاده سرزمین ماه برای سفر طولانی‌اش دور دنیا انتخاب شده‌اند و...
Naruto the Movie: Ninja Clash in the Land of Snow 2004,https://www.imdb.com/title/tt0476680,,"['اکشن', 'انیمیشن', 'فانتزی', 'ماجراجویی']",2004,['ژاپن'],['Tensai Okamura'],"['Junko Takeuchi', 'Chie Nakamura', 'Noriaki Sugiyama']",ناروتو و دوستان‌اش برای مأموریتی انتخاب شده‌اند تا از یک بازیگر در برابر سه جنگجوی سرکش در سرزمین برفی محافظت کنند.
Nausicaä of the Valley of the Wind 1984,https://www.imdb.com/title/tt0087544,8,"['انیمیشن', 'علمی تخیلی', 'فانتزی', 'ماجراجویی']",1984,['ژاپن'],['hayao miyazaki'],"['sumi shimamoto', 'mahito tsujimura', 'hisako kyôda']",هزار سال پس از وقوع یک جنگ بسیار عظیم و نابودی بخش عمده‌ای از تمدن بشری، شاهزاده خانمی به نام نیوشکا تمام تلاش خود را به کار می‌گیرد تا از وقوع نبردی ویرانگر میان دو کشور و نابودی کامل سیاره زمین جلوگیری کند و...
One Piece Film: Red 2022,https://www.imdb.com/title/tt16183464,,"['اکشن', 'انیمیشن', 'ماجراجویی']",2022,['ژاپن'],[],"['Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura']",برای اولین بار، یوتا، محبوب‌ترین خواننده دنیا می‌خواهد خود را در یک کنسرت زنده پدیدار کند. صدایی که کل جهان در انتظار او بودند طنین‌انداز خواهد شد.
One Piece: Stampede 2019,https://www.imdb.com/title/tt9430698,7.5,"['اکشن', 'انیمیشن', 'خانوادگی', 'فانتزی', 'ماجراجویی', 'انیمیشن', 'اکشن', 'ماجراجویی', 'خانوادگی', 'فانتزی']",2019,['ژاپن'],['Takashi Otsuka'],"['Felecia Angelle', 'Greg Ayres', 'Tia Lynn Ballard']",دزدان دریایی از سرتاسر دنیا در یک مسابقه مخصوص دزدان دریایی جمع می‌شوند تا گنج گمشده‌ی کاپیتان دی راجر را پیدا کنند ولی ...
Only Yesterday 1991,https://www.imdb.com/title/tt0102587,7.6,"['انیمیشن', 'درام', 'عاشقانه']",1991,['ژاپن'],['isao takahata'],"['Miki Imai', 'Toshirô Yanagiba', 'Yoko Honna']",یک کارمند بیست و هفت ساله به حومه شهر سفر می کند. در این بین او خاطرات دوران کودکی اش در توکیو را به یاد می آورد و...
Penguin Highway 2018,https://www.imdb.com/title/tt8076344,7.1,"['انیمیشن', 'خانوادگی', 'رازآلود', 'فانتزی', 'ماجراجویی', 'خانوادگی', 'فانتزی']",2018,['ژاپن'],['Hiroyasu Ishida'],"['Kana Kita', 'yû aoi', 'tony azzolino']",درباره یک دانش آموز سال چهارم به اسم آیواما کان میباشد که درباره ی دلیل مرموزی که پشت قضیه ی ظهور ناگهانی پنگوئن ها در دهکده ی خود میباشد، تحقیق میکند، که به نوعی به فعالیت یک خانوم که در کلینیک دندانپزشکی کار میکند، مربوط میشود…
